customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
2763.52,56274.0,69.0,32,5,0,1,384.81
6979.54,0.0,94.0,13,42,0,8,1131.46
12887.43,48767.0,108.0,18,38,0,2,566.47
7645.86,0.0,106.0,18,65,0,7,529.88
2813.69,43836.0,73.0,12,44,0,1,138.13
8256.3,62902.0,69.0,14,94,0,2,159.38
5380.9,55350.0,67.0,0,13,0,9,321.6
7216.1,0.0,101.0,0,68,0,4,363.03
24127.5,14072.0,71.0,13,3,0,2,511.2
7388.18,28812.0,93.0,17,7,0,8,425.53
4738.99,0.0,67.0,23,5,0,3,482.4
8197.2,0.0,110.0,27,87,0,3,528.0
8798.8,77026.0,110.0,9,82,2,3,472.03
8819.02,99845.0,110.0,23,25,1,8,528.0
5384.43,83689.0,70.0,21,10,2,8,307.14
7463.14,24599.0,64.0,12,50,1,2,42.92
2566.87,25049.0,67.0,14,7,0,1,454.25
3945.24,28855.0,101.0,12,59,0,1,647.44
5710.33,51148.0,72.0,9,1,0,7,308.98
8162.62,66140.0,101.0,11,21,0,3,484.8
2872.05,57749.0,74.0,31,21,0,1,355.2
3041.79,13789.0,79.0,8,49,0,1,379.2
24127.5,14072.0,71.0,13,3,0,2,511.2
2450.19,0.0,73.0,4,44,3,1,554.38
2392.11,17870.0,61.0,30,91,0,1,439.2
5802.07,97541.0,72.0,22,1,0,3,389.19
3946.37,0.0,111.0,15,47,0,1,799.2
5346.92,10511.0,139.0,33,64,0,1,516.24
12902.56,86584.0,111.0,33,54,2,2,532.8
3235.36,75690.0,80.0,17,44,1,1,384.0
2454.58,23158.0,63.0,4,6,1,1,322.29
18975.46,65999.0,237.0,1,14,0,6,615.93
4715.32,0.0,65.0,19,56,0,3,308.15
5018.89,54500.0,63.0,28,17,0,6,302.4
4932.92,37260.0,62.0,19,42,0,8,15.44
5744.23,68987.0,71.0,11,40,0,6,204.48
13891.74,42305.0,117.0,10,62,0,2,561.6
7380.98,65706.0,91.0,19,86,0,8,436.8
3090.03,0.0,90.0,7,79,0,1,648.0
2521.63,53243.0,66.0,4,15,2,1,157.4
2652.06,0.0,70.0,7,1,1,1,484.32
2771.05,50071.0,71.0,3,32,0,1,18.92
3939.01,60021.0,99.0,12,28,0,1,882.87
12231.88,43244.0,103.0,15,16,0,2,494.4
2443.67,92834.0,61.0,15,56,0,1,292.8
12819.1,10105.0,172.0,5,4,3,3,0.52
4468.51,0.0,73.0,7,57,3,5,579.17
5514.34,23218.0,71.0,7,10,0,4,447.79
3343.88,0.0,92.0,11,77,0,1,529.62
2294.48,0.0,62.0,11,56,0,1,313.02
36707.43,24804.0,104.0,1,28,0,2,593.83
33473.35,33190.0,106.0,18,95,0,2,508.8
7983.43,36014.0,69.0,4,40,3,2,173.96
4854.75,29834.0,64.0,19,44,0,3,307.2
4294.0,16701.0,113.0,20,26,0,1,831.63
7164.4,46623.0,91.0,1,53,0,3,436.8
7619.52,64749.0,64.0,24,59,0,2,302.57
3958.0,0.0,101.0,29,12,0,1,484.8
4499.49,16969.0,124.0,34,47,2,1,704.77
4059.57,11621.0,108.0,4,98,0,1,518.4
4458.11,17622.0,65.0,1,36,1,3,312.0
8110.33,11489.0,105.0,4,50,0,6,504.0
3339.76,0.0,94.0,20,53,0,1,863.33
24261.02,66525.0,100.0,0,86,0,2,104.33
6613.97,0.0,63.0,21,28,0,2,676.39
2930.69,33663.0,73.0,29,71,0,1,350.4
8672.19,22547.0,112.0,7,60,0,3,537.6
11638.67,61486.0,97.0,5,65,0,2,465.26
6846.15,0.0,95.0,13,20,0,5,456.0
11727.78,29879.0,102.0,17,0,0,2,500.25
22643.83,93011.0,113.0,17,12,0,2,281.45
2614.47,65186.0,65.0,29,27,0,1,5.43
2451.75,26840.0,64.0,1,47,2,1,307.2
6781.27,0.0,104.0,30,3,1,5,982.4
4974.8,75644.0,65.0,5,68,3,9,467.8
8591.6,38984.0,73.0,27,38,0,2,350.4
5592.16,71811.0,71.0,17,48,0,6,29.03
8009.47,20961.0,67.0,20,33,0,2,321.6
11318.09,38923.0,99.0,6,83,2,2,115.73
58166.55,61321.0,186.0,0,30,1,2,427.63
8025.23,0.0,77.0,20,26,0,2,25.81
5780.18,51066.0,74.0,23,0,0,8,787.99
4118.54,34378.0,102.0,12,54,0,1,489.6
2523.07,43072.0,63.0,35,15,0,1,302.4
6554.22,25222.0,90.0,28,69,0,3,475.62
7703.4,36765.0,66.0,15,32,1,2,320.85
5926.73,23091.0,96.0,28,90,5,5,460.8
2683.47,48269.0,69.0,3,79,3,1,282.15
2695.18,32720.0,67.0,13,12,0,1,321.6
6047.03,20396.0,76.0,15,60,1,4,364.8
13171.01,21513.0,119.0,21,81,1,2,679.83
10656.88,72540.0,88.0,7,3,0,2,631.74
2527.65,80744.0,63.0,24,84,0,1,11.88
2672.1,52822.0,67.0,23,88,0,1,350.53
5313.29,0.0,77.0,8,10,1,9,863.39
20946.19,69738.0,74.0,2,26,1,2,492.13
8375.35,17780.0,109.0,12,18,0,9,132.59
4801.66,18107.0,62.0,29,11,0,8,297.6
5745.94,57740.0,74.0,30,87,3,9,269.91
6066.12,32627.0,76.0,11,60,0,7,380.04
8002.31,0.0,107.0,3,65,0,3,513.6
2393.92,0.0,70.0,24,10,0,1,425.27
4762.82,65795.0,62.0,2,85,1,3,49.01
4330.39,60475.0,107.0,9,18,0,1,513.6
9402.73,0.0,130.0,28,88,0,4,936.0
6966.69,41837.0,88.0,29,93,0,9,142.06
7694.06,32303.0,65.0,13,34,0,2,45.15
8717.56,0.0,117.0,5,89,1,3,561.6
5928.75,40531.0,74.0,17,32,0,9,30.57
2452.98,79898.0,62.0,5,86,1,1,271.61
6701.57,56398.0,85.0,4,18,0,7,408.0
7556.24,35257.0,98.0,16,2,1,8,470.4
8492.7,27804.0,109.0,19,54,0,7,784.8
7713.49,45506.0,66.0,16,32,2,2,316.8
24084.54,65196.0,67.0,0,54,0,2,396.08
7290.07,0.0,102.0,11,70,1,3,489.6
4772.94,20993.0,133.0,35,90,0,1,638.4
6806.49,37839.0,86.0,35,77,0,9,465.63
2469.78,92711.0,62.0,24,10,0,1,368.4
3103.92,74665.0,78.0,10,90,2,1,236.9
2981.88,0.0,83.0,26,89,0,1,582.68
8902.74,46833.0,112.0,6,3,0,9,64.11
5499.45,88768.0,68.0,17,77,0,7,326.4
15023.6,28262.0,192.0,9,77,0,3,921.6
2509.11,33555.0,63.0,17,11,0,1,101.9
31221.75,42780.0,113.0,10,27,1,2,542.4
3133.5,58850.0,78.0,20,26,0,1,143.75
3837.45,21880.0,97.0,29,37,0,1,424.08
11790.5,25251.0,66.0,13,43,0,2,316.8
7838.07,0.0,69.0,9,12,0,2,2.7
4305.81,24188.0,109.0,14,82,0,1,523.2
5973.98,41611.0,74.0,14,8,0,8,113.8
5670.44,28406.0,72.0,16,35,1,4,192.88
4731.75,69833.0,118.0,32,99,0,1,828.66
8026.38,0.0,74.0,15,91,0,2,532.8
4022.96,0.0,117.0,6,1,0,1,975.11
9618.31,80536.0,119.0,5,83,0,3,53.8
2274.78,0.0,63.0,2,5,0,1,606.64
9552.93,97732.0,79.0,0,70,0,2,289.91
10388.55,61222.0,89.0,20,55,0,2,392.6
2470.12,0.0,74.0,7,20,0,1,721.24
5619.07,50335.0,140.0,9,54,0,1,456.52
9047.12,0.0,127.0,30,11,0,6,1088.0
6692.14,63221.0,168.0,28,49,0,1,806.4
3731.5,0.0,96.0,31,34,0,1,460.8
3660.77,64495.0,92.0,34,30,0,1,251.99
7928.83,0.0,72.0,7,75,0,2,345.6
5011.75,28859.0,67.0,24,51,3,4,321.6
7988.26,77330.0,99.0,0,21,0,3,99.26
3885.46,0.0,105.0,3,92,0,1,504.0
2659.34,24495.0,70.0,29,65,0,1,336.0
8564.77,95697.0,107.0,29,29,0,9,178.01
4885.16,26372.0,126.0,11,7,0,1,604.8
9753.31,17514.0,127.0,2,5,0,3,8.31
2946.15,89270.0,74.0,17,90,0,1,316.6
2581.11,29757.0,65.0,13,55,0,1,312.0
3517.39,51814.0,92.0,28,89,0,1,56.3
9743.35,24028.0,82.0,14,27,0,2,393.6
3873.65,28142.0,105.0,18,50,0,1,701.71
7649.28,52705.0,64.0,14,8,1,2,128.71
2287.6,0.0,63.0,1,5,0,1,679.37
4475.42,84903.0,111.0,7,63,0,1,497.13
8714.92,0.0,118.0,14,64,0,4,566.4
2248.45,24910.0,63.0,7,63,1,1,347.86
7416.2,0.0,77.0,15,12,2,2,554.4
7771.16,21876.0,68.0,12,28,0,2,465.41
6968.34,0.0,69.0,33,61,1,2,496.8
4250.28,0.0,61.0,17,1,1,7,292.8
19776.57,70699.0,82.0,1,57,0,2,256.81
21343.47,0.0,74.0,11,85,1,2,355.2
2413.14,27501.0,63.0,20,0,0,1,542.32
15363.85,15897.0,101.0,30,99,0,2,303.15
8456.96,25141.0,73.0,12,4,1,2,25.44
2189.64,0.0,61.0,5,46,3,1,292.8
5780.18,51066.0,74.0,23,0,0,8,787.99
4639.98,28358.0,117.0,24,37,0,1,84.02
4465.34,61846.0,112.0,1,48,0,1,215.82
5968.12,90972.0,74.0,3,47,0,8,232.93
5097.76,0.0,74.0,3,95,0,7,532.8
